#video                                            	object    	scene     	mime 
tKS0NvaO0h4_000082_000085.mp4                     	no        	no        	no   
-7MNk_seKxo_000000_000006.mp4                     	no        	no        	no   
-7MNk_seKxo_000030_000033.mp4                     	no        	yes       	no   
GdKK42PIcB0_000006_000010.mp4                     	no        	no        	no   
GdKK42PIcB0_000081_000084.mp4                     	no        	yes       	no   
ItllLoYW1Og_000028_000030.mp4                     	no        	no        	no   
ItllLoYW1Og_000074_000076.mp4                     	no        	no        	no   
P-gHg3cUU2A_000019_000021.mp4                     	no        	yes       	no   
P-gHg3cUU2A_000046_000047.mp4                     	no        	yes       	no   
P-gHg3cUU2A_000060_000064.mp4                     	no        	yes       	no   
RQkSoH9WTks_000023_000026.mp4                     	no        	yes       	no   
RQkSoH9WTks_000029_000031.mp4                     	no        	yes       	no   
TazunpSKrq0_000025_000031.mp4                     	no        	no        	no   
TazunpSKrq0_000073_000076.mp4                     	no        	no        	no   
zS4yOVFTEvM_000010_000013.mp4                     	no        	no        	no   
AhuE6ybVnh0_000353_000363.mp4                     	no        	no        	yes  
GKbkRz9TtEs_000159_000169.mp4                     	no        	no        	no   
KHafHqcY0zM_000184_000187.mp4                     	no        	yes       	yes  
LZKWWQHg6tI_000670_000678.mp4                     	no        	no        	no   
O9m7k8GagTA_000263_000273.mp4                     	no        	no        	yes  
PGEtxyw3wog_000000_000005.mp4                     	no        	no        	no   
RWLqaD9v6N8_000204_000208.mp4                     	no        	no        	yes  
SdY0GFiME2c_000410_000415.mp4                     	no        	no        	yes  
TRcCyetKj0o_000202_000211.mp4                     	no        	no        	no   
pcBXtl667nI_000160_000170.mp4                     	no        	no        	yes  
qe5KLw8qee0_000287_000297.mp4                     	no        	no        	yes  
rn4TUxN67XY_000075_000085.mp4                     	no        	no        	no   
xxWzjiEEEyo_000036_000041.mp4                     	no        	no        	no   
2L0fVqR_xtU_000003_000013.mp4                     	yes       	no        	yes  
4pfixAOJK_c_000035_000045.mp4                     	no        	no        	no   
6QV4jL5lrJI_000012_000016.mp4                     	yes       	no        	no   
NMe-qhhPUTo_000156_000166.mp4                     	no        	no        	yes  
RLkJThRccyc_000011_000015.mp4                     	yes       	no        	no   
VNX0UCoor6M_000087_000097.mp4                     	yes       	no        	no   
XvKLqW2XTSA_000044_000048.mp4                     	yes       	no        	yes  
XvKLqW2XTSA_000066_000072.mp4                     	yes       	no        	yes  
cPZl3pipfEw_000020_000025.mp4                     	no        	no        	no   
cPZl3pipfEw_000063_000073.mp4                     	no        	no        	no   
fhIOg7xMQlA_000068_000073.mp4                     	yes       	no        	no   
lpQQWMFWNAM_000000_000001.mp4                     	yes       	yes       	no   
tJVNul1R24o_000073_000081.mp4                     	no        	no        	no   
twz6DMLXS4U_000021_000031.mp4                     	yes       	no        	no   
xGs73XJkM24_000000_000002.mp4                     	yes       	no        	no   
zNI3Cw58xH8_000000_000010.mp4                     	yes       	no        	no   
29CXH6FI8W4_000018_000023.mp4                     	no        	no        	no   
3EeU-kSO0bY_000064_000068.mp4                     	no        	no        	yes  
79KsitsRxK4_000088_000096.mp4                     	no        	no        	yes  
F9H7ERFv0n0_000000_000010.mp4                     	no        	no        	no   
Rxm1Bd10hhw_000015_000022.mp4                     	no        	no        	yes  
TTXE56hW3jw_000008_000018.mp4                     	no        	no        	no   
UbdK6pKQnSQ_000014_000016.mp4                     	no        	no        	no   
bz0COpP1iV0_000092_000096.mp4                     	no        	no        	no   
eDDxKQ9KqFk_000012_000017.mp4                     	no        	no        	yes  
jEPBGRHgTwg_000177_000180.mp4                     	no        	no        	no   
qe5KLw8qee0_000181_000184.mp4                     	no        	no        	yes  
uP9mY0A_0Ts_000021_000025.mp4                     	no        	no        	no   
vf-e-dWOxgE_000039_000049.mp4                     	no        	no        	no   
x8vuJPisFOg_000008_000015.mp4                     	no        	no        	no   
7u3k9tzCHDw_000100_000110.mp4                     	no        	no        	yes  
CRSVqiLk8OQ_000036_000046.mp4                     	no        	no        	yes  
ETxZ7HjUrhE_000004_000011.mp4                     	no        	no        	no   
Fii2Pf_UBGA_000000_000003.mp4                     	no        	no        	no   
Hmo6-E7DYO4_000002_000008.mp4                     	no        	no        	yes  
SdY0GFiME2c_000457_000461.mp4                     	no        	no        	yes  
T3InRU7tizs_000006_000012.mp4                     	no        	no        	no   
UbdK6pKQnSQ_000019_000023.mp4                     	no        	no        	no   
bXnIBugOVLs_000056_000066.mp4                     	no        	no        	no   
g5NWNG4XyS8_000076_000085.mp4                     	no        	no        	no   
hBEUQlh6PNs_000284_000286.mp4                     	no        	no        	yes  
j1JtNwBg8Fs_000005_000010.mp4                     	no        	no        	yes  
nG7nXhS_Iq8_000185_000195.mp4                     	no        	no        	yes  
7xUGM3fJIks_000004_000006.mp4                     	no        	no        	no   
9_UCzNl796M_000141_000145.mp4                     	no        	no        	no   
Mdz5lsRh7pI_000144_000146.mp4                     	no        	no        	no   
Yxzp8o1DdDU_000116_000120.mp4                     	no        	no        	yes  
hJn2UPaicZc_000008_000010.mp4                     	no        	yes       	no   
ipB9C6YuxUI_000000_000003.mp4                     	no        	no        	no   
ipB9C6YuxUI_000007_000012.mp4                     	no        	no        	no   
jvzsEAhGMAE_000325_000326.mp4                     	yes       	no        	no   
o7Aj7Bq8Kos_000090_000091.mp4                     	no        	no        	no   
pjZJCBOGwRU_000005_000010.mp4                     	no        	no        	no   
pn1dt2YD46s_000033_000035.mp4                     	no        	no        	no   
3cFRbGaV5-k_000004_000008.mp4                     	no        	no        	no   
BT0Q_P1fBlY_000380_000386.mp4                     	no        	no        	yes  
BdEDEi_LFOA_000021_000023.mp4                     	no        	yes       	no   
EDLkX44ocqw_000005_000009.mp4                     	no        	no        	no   
EYDCiKGpSFs_000010_000012.mp4                     	no        	no        	no   
JSIMsw3NrGM_000058_000063.mp4                     	no        	no        	no   
L4lqtPwU5vY_000087_000093.mp4                     	no        	no        	no   
Mio4-VYusug_000006_000008.mp4                     	no        	yes       	no   
VcWQTlNOzoU_000039_000040.mp4                     	no        	no        	no   
VcWQTlNOzoU_000131_000133.mp4                     	no        	no        	no   
ZsMqq2ByFgM_000007_000013.mp4                     	no        	no        	no   
cIJd33dNr-4_000006_000012.mp4                     	no        	no        	no   
lSxv5M4-8tE_000031_000039.mp4                     	no        	no        	no   
o1q2BURthvU_000063_000073.mp4                     	no        	no        	yes  
pWJ3n5NTgDQ_000007_000010.mp4                     	no        	no        	no   
sByIMfW6aI0_000020_000021.mp4                     	no        	no        	no   
wILLcjlT58U_000001_000004.mp4                     	no        	no        	no   
xv60PJOPVgg_000057_000058.mp4                     	no        	yes       	no   
1LBm1M3DBNY_000089_000092.mp4                     	no        	no        	yes  
5oCZjxPE2dg_000060_000066.mp4                     	no        	no        	yes  
5r3Z45QAmxI_000271_000276.mp4                     	no        	no        	yes  
7by8NBSszwk_000019_000026.mp4                     	no        	no        	yes  
C_zr0Kq_qfg_000069_000071.mp4                     	no        	no        	yes  
EkxyU6gC0zQ_000100_000104.mp4                     	no        	no        	no   
F_vRbO50J20_000190_000194.mp4                     	no        	no        	no   
ISAMIkCV5Is_000367_000370.mp4                     	no        	no        	no   
JV3qQldC1eg_000390_000391.mp4                     	no        	yes       	no   
JV3qQldC1eg_000399_000402.mp4                     	no        	yes       	no   
KgfRK_3hGiY_000326_000330.mp4                     	no        	yes       	yes  
LkMG3Ntn-g8_000056_000060.mp4                     	no        	no        	yes  
Oa3GfbRU67E_000165_000167.mp4                     	no        	no        	yes  
PZxs-3Mfnr8_000120_000122.mp4                     	no        	no        	yes  
Q6g6dU0IgBU_000005_000010.mp4                     	no        	no        	no   
TFSIm3Zeecg_000053_000055.mp4                     	no        	no        	yes  
TGhDWDW7WhY_000562_000567.mp4                     	no        	no        	yes  
UinTEeZHWas_000028_000033.mp4                     	no        	no        	no   
bM3Dqa0WX_g_000015_000016.mp4                     	no        	no        	no   
cRsvdcmXk8M_000005_000009.mp4                     	no        	no        	no   
ftRFY6vUIEw_000235_000240.mp4                     	no        	no        	yes  
gFhirwb2vtk_000071_000074.mp4                     	no        	no        	yes  
gYZbufD61Og_000085_000092.mp4                     	no        	no        	yes  
i1x9qnLy3Ng_000027_000029.mp4                     	no        	no        	no   
n7ew4qIamfA_000053_000055.mp4                     	no        	no        	no   
svY2E5YUUxc_000049_000059.mp4                     	no        	no        	yes  
xQs2G_09NxU_000065_000067.mp4                     	no        	no        	yes  
0eVaGBh2aYg_000050_000060.mp4                     	no        	no        	yes  
0uLKTeX6HjA_000001_000004.mp4                     	no        	yes       	no   
FPMBV3rd_hI_000077_000087.mp4                     	no        	no        	yes  
GHahcY5ew3o_000001_000005.mp4                     	no        	no        	yes  
MFWgsGsKGMQ_000182_000188.mp4                     	no        	no        	yes  
Ous_8Cm7G1s_000213_000223.mp4                     	no        	no        	no   
QRiAY_889YM_000128_000138.mp4                     	no        	no        	yes  
SrS39FDK3HY_000028_000035.mp4                     	no        	no        	no   
aGZL2rw-qtk_000030_000040.mp4                     	no        	no        	no   
aJd5kfrA0Vs_000341_000351.mp4                     	no        	no        	yes  
bkzsoJf-UsA_000059_000061.mp4                     	no        	no        	no   
cOZSG3wYTLo_000064_000072.mp4                     	no        	no        	no   
gYZbufD61Og_000130_000132.mp4                     	no        	no        	yes  
lIrkASGtoz8_000038_000046.mp4                     	no        	no        	yes  
m-H7X-deSTk_000216_000219.mp4                     	no        	no        	yes  
mm1HgQbXFEE_000100_000106.mp4                     	no        	no        	no   
ElJQ_h3Y-0U_000034_000037.mp4                     	no        	yes       	no   
VcWQTlNOzoU_000134_000137.mp4                     	no        	no        	no   
_sKrWYJPc2g_000028_000033.mp4                     	no        	no        	no   
duC8ZXFfo9k_000071_000073.mp4                     	no        	no        	no   
duC8ZXFfo9k_000120_000124.mp4                     	no        	no        	no   
eMXo3QIsFQo_000178_000180.mp4                     	yes       	yes       	yes  
ucaR1j6Ajs8_000009_000011.mp4                     	no        	yes       	no   
v0fHvZxWUqk_000000_000002.mp4                     	yes       	no        	no   
v0fHvZxWUqk_000004_000006.mp4                     	yes       	no        	no   
v0fHvZxWUqk_000008_000010.mp4                     	yes       	no        	no   
1LBm1M3DBNY_000076_000086.mp4                     	no        	no        	yes  
89vQjjd5M70_000129_000138.mp4                     	no        	no        	yes  
COppfZLpk-8_000065_000075.mp4                     	no        	no        	yes  
CmwzhtJ98tk_000069_000071.mp4                     	no        	no        	yes  
FPMBV3rd_hI_000003_000010.mp4                     	no        	no        	yes  
LlXKCeXsdNg_000177_000183.mp4                     	no        	no        	no   
M5-HKclj15U_000042_000052.mp4                     	no        	no        	yes  
N4WKMa_KKYc_000001_000003.mp4                     	no        	no        	no   
PZxs-3Mfnr8_000210_000213.mp4                     	no        	no        	yes  
PjUiNabLd04_000623_000625.mp4                     	no        	no        	no   
RWLqaD9v6N8_000140_000146.mp4                     	no        	no        	yes  
TdGVBQbBTbo_000011_000018.mp4                     	no        	no        	yes  
c-DsvJAjK0w_000050_000057.mp4                     	no        	no        	no   
cLqHYQY3Sjo_000052_000056.mp4                     	no        	no        	yes  
ftRFY6vUIEw_000140_000150.mp4                     	no        	no        	yes  
kGpDLyc59ik_000190_000200.mp4                     	no        	no        	yes  
kGpDLyc59ik_000320_000330.mp4                     	no        	no        	yes  
uPCzjHPS--U_000070_000072.mp4                     	no        	no        	no   
zvPgORDt900_000036_000046.mp4                     	no        	no        	yes  
37R1c2TOoCY_000146_000151.mp4                     	no        	no        	yes  
53SXVzTpCjg_000037_000045.mp4                     	no        	no        	no   
5bAFqsG37C0_000000_000008.mp4                     	no        	no        	no   
EUHjIrtQvms_000002_000008.mp4                     	no        	no        	no   
EjVnQyhz8uo_000202_000210.mp4                     	no        	no        	no   
LAwv-gU3lqE_000055_000057.mp4                     	no        	no        	no   
N3coivBwaqc_000050_000052.mp4                     	no        	no        	yes  
QDs8zNsJVUI_000000_000006.mp4                     	no        	no        	no   
T2gTIworsLk_000049_000050.mp4                     	no        	no        	no   
X2pmhFCUDJw_000095_000100.mp4                     	no        	no        	no   
yVMqtk4MDj8_000009_000012.mp4                     	no        	no        	yes  
-fiZ0aXnDX8_000156_000166.mp4                     	no        	no        	no   
Kc7a47NaUrU_000001_000009.mp4                     	no        	no        	no   
MbmFcjcGf8w_000196_000203.mp4                     	no        	no        	yes  
NjaSSRcBgus_000085_000095.mp4                     	no        	no        	no   
OXg_ybIJYuE_000048_000057.mp4                     	no        	no        	no   
VwDR7DvX4PE_000010_000020.mp4                     	no        	no        	no   
_JYwMtF5UzA_000000_000010.mp4                     	no        	no        	no   
eF5Yv3U1UaY_000150_000153.mp4                     	no        	no        	no   
sLXBT10xg8w_000028_000038.mp4                     	no        	no        	no   
xwOp2GJ3kDI_000234_000239.mp4                     	no        	no        	yes  
-vEG9b1osjk_000000_000002.mp4                     	no        	no        	no   
B281ZM_guy4_000441_000446.mp4                     	no        	no        	no   
B2HcgdVgAYE_000017_000022.mp4                     	yes       	no        	no   
CjXn0c_XvDE_000044_000051.mp4                     	no        	yes       	no   
D4p5RrIMcBo_000048_000053.mp4                     	no        	no        	no   
JiH47aX9sqU_000017_000023.mp4                     	no        	no        	no   
LZKWWQHg6tI_000608_000612.mp4                     	no        	no        	no   
SLQOMHEeURM_000180_000184.mp4                     	yes       	no        	no   
TRcCyetKj0o_000228_000236.mp4                     	no        	no        	no   
eMXo3QIsFQo_000100_000104.mp4                     	yes       	yes       	yes  
enqzVO7JoK4_000035_000036.mp4                     	no        	no        	no   
htZoKnl5OE4_000013_000018.mp4                     	no        	no        	no   
mW2ZS9Y2m8E_000008_000010.mp4                     	no        	no        	no   
nEkB5deP0T8_000117_000122.mp4                     	no        	no        	no   
vA0v6Xp7CIU_000105_000112.mp4                     	no        	no        	no   
zLr8OGVDTFA_000005_000008.mp4                     	no        	no        	no   
-CM9SDKQRQc_000150_000152.mp4                     	no        	yes       	no   
0xA0SB7uFcc_000019_000020.mp4                     	no        	yes       	no   
IL_G87_XyxU_000081_000083.mp4                     	no        	no        	no   
NAkrjA7GR84_000112_000115.mp4                     	no        	no        	no   
OG4GyiHdRAI_000075_000076.mp4                     	no        	no        	no   
S64EAB8haMw_000015_000019.mp4                     	no        	no        	no   
TRcCyetKj0o_000115_000116.mp4                     	no        	no        	no   
YvKce9m1z7g_000004_000006.mp4                     	no        	no        	no   
ZMJixoSYf8Q_000045_000047.mp4                     	yes       	no        	no   
bodvGG0lOFY_000078_000081.mp4                     	no        	yes       	no   
eMXo3QIsFQo_000114_000116.mp4                     	yes       	yes       	yes  
hvD1Jypn7cg_000108_000110.mp4                     	no        	no        	no   
lpZs8sx51tk_000015_000017.mp4                     	no        	no        	no   
n98HEowTnkQ_000011_000012.mp4                     	no        	yes       	no   
x3QNv54PtlE_000017_000020.mp4                     	no        	yes       	no   
3hxZTxU0Svw_000000_000002.mp4                     	no        	no        	no   
HHvryR3MtRg_000000_000005.mp4                     	no        	no        	no   
QK87X-9J-ps_000000_000004.mp4                     	no        	no        	no   
Wy7qUxpzmzM_000004_000010.mp4                     	no        	no        	no   
bawjQioW0cM_000122_000129.mp4                     	no        	yes       	no   
lhA3Mxwy8xg_000054_000055.mp4                     	no        	no        	no   
ov38wjek-ok_000000_000010.mp4                     	no        	no        	no   
svnmmn-sYTs_000000_000003.mp4                     	no        	no        	no   
wZXgTlk-rak_000000_000010.mp4                     	no        	no        	no   
xtIw4-LOSKw_000000_000008.mp4                     	no        	no        	no   
BRtsvUVpHf4_000164_000169.mp4                     	no        	no        	no   
CytOsGVQyKg_000026_000027.mp4                     	no        	no        	yes  
E-Bnewo247E_000004_000005.mp4                     	no        	no        	yes  
EJqkPjB6EpQ_000074_000076.mp4                     	no        	no        	no   
WzgnBOXs9Wo_000000_000002.mp4                     	no        	no        	no   
XrTg8mq_geo_000004_000005.mp4                     	no        	no        	no   
aoNi9Im_Iio_000134_000136.mp4                     	no        	no        	yes  
dS3Hc-5o9Z8_000026_000031.mp4                     	no        	no        	yes  
dbPOVCeb8dU_000351_000353.mp4                     	no        	no        	no   
j5tSDS91AcM_000104_000108.mp4                     	no        	no        	yes  
kr8KU7N93dw_000003_000006.mp4                     	no        	no        	no   
u2rLpICCatI_000057_000062.mp4                     	no        	no        	no   
228yqOPCJaY_000014_000016.mp4                     	no        	no        	no   
3YUTULgA-Hc_000036_000037.mp4                     	no        	no        	yes  
58RrWSDBsNc_000281_000283.mp4                     	no        	no        	no   
80C5dnlGtiY_000004_000009.mp4                     	no        	no        	no   
80C5dnlGtiY_000021_000025.mp4                     	no        	no        	no   
9AbZIwq7qJU_000000_000003.mp4                     	no        	no        	no   
ArGXhyriIzs_000006_000012.mp4                     	no        	no        	no   
JuGpEUvXEW0_000011_000015.mp4                     	no        	no        	no   
M9rgnIoZQTo_000012_000015.mp4                     	no        	no        	no   
M9rgnIoZQTo_000015_000017.mp4                     	no        	no        	no   
MuHA3dDr5JI_000008_000010.mp4                     	no        	no        	no   
MuHA3dDr5JI_000013_000014.mp4                     	no        	no        	no   
OLTMQBerToU_000064_000068.mp4                     	no        	no        	no   
ZxyVh5NlOF8_000026_000028.mp4                     	no        	no        	no   
eMXo3QIsFQo_000138_000139.mp4                     	yes       	yes       	yes  
j11ARKpK-8Q_000020_000022.mp4                     	no        	no        	no   
pOHZlLytOQw_000070_000073.mp4                     	no        	no        	no   
pOHZlLytOQw_000170_000180.mp4                     	no        	no        	no   
1LBm1M3DBNY_000087_000089.mp4                     	no        	no        	yes  
1lukUCL5pS4_000146_000151.mp4                     	no        	yes       	yes  
7by8NBSszwk_000004_000005.mp4                     	no        	no        	yes  
C_zr0Kq_qfg_000065_000067.mp4                     	no        	no        	yes  
JV3qQldC1eg_000375_000379.mp4                     	no        	yes       	no   
LkMG3Ntn-g8_000054_000056.mp4                     	no        	no        	yes  
gFhirwb2vtk_000058_000068.mp4                     	no        	no        	no   
s6psOZC5UE8_000090_000100.mp4                     	no        	no        	yes  
xQs2G_09NxU_000064_000065.mp4                     	no        	no        	no   
8_Ex8pZgeAY_000050_000060.mp4                     	no        	no        	no   
9CtKGiqhCoA_000023_000027.mp4                     	no        	no        	no   
HNNBPNQwh8E_000008_000010.mp4                     	no        	no        	no   
HrF_3NMGU2c_000002_000004.mp4                     	no        	no        	no   
J72oxMhjf1Y_000037_000041.mp4                     	no        	no        	no   
LfceW5releU_000002_000004.mp4                     	no        	no        	no   
USAL4OpwJ-w_000020_000030.mp4                     	no        	no        	no   
eeC8u7osjsU_000000_000008.mp4                     	no        	no        	no   
hFsTEHai5Zg_000000_000010.mp4                     	no        	no        	no   
s--xTEYCHUo_000090_000100.mp4                     	no        	no        	no   
vDonJJgnI0w_000010_000020.mp4                     	no        	no        	no   
7zzLN3ZNQEI_000000_000010.mp4                     	no        	yes       	no   
JwkAbfty5p8_000019_000025.mp4                     	no        	yes       	no   
L4lqtPwU5vY_000081_000086.mp4                     	no        	no        	no   
L4lqtPwU5vY_000095_000096.mp4                     	no        	yes       	no   
RVlKVMy-oxI_000178_000181.mp4                     	no        	no        	no   
YfTcVAUWc74_000001_000003.mp4                     	no        	no        	no   
eMXo3QIsFQo_000084_000089.mp4                     	yes       	yes       	yes  
g7qQK6Qxi3U_000012_000017.mp4                     	no        	no        	no   
gW2qYxCB-0g_000004_000006.mp4                     	no        	no        	no   
lhuGcGu3-7E_000003_000013.mp4                     	no        	yes       	no   
nrlWz4aIkRI_000000_000003.mp4                     	no        	no        	no   
vNUcBRjaboo_000022_000027.mp4                     	no        	no        	no   
xNeghXu6ZS4_000002_000007.mp4                     	no        	no        	no   
xv60PJOPVgg_000003_000009.mp4                     	no        	yes       	no   
-0dNIgdbSX8_000000_000007.mp4                     	no        	no        	no   
A4nytLns0_M_000072_000076.mp4                     	no        	no        	no   
D0ntNYx8Zis_000028_000038.mp4                     	no        	no        	no   
Fhd0n8xXTSA_000000_000010.mp4                     	no        	no        	no   
GkrtgWwIKU0_000001_000011.mp4                     	no        	no        	no   
dThVRcijxZQ_000010_000020.mp4                     	no        	no        	no   
hK-F1ILPaAk_000001_000010.mp4                     	no        	no        	no   
kR8zkH-35kk_000173_000175.mp4                     	no        	no        	no   
mGlm3QKBvD8_000085_000086.mp4                     	no        	no        	no   
oAU0Pb-74RU_000041_000051.mp4                     	no        	no        	no   
pbCEaGyf-Rs_000012_000022.mp4                     	no        	no        	no   
wROQoqSDHV0_000011_000013.mp4                     	no        	no        	no   
yx_zMTYkoes_000034_000037.mp4                     	no        	no        	no   
8ayeoP9Q-eY_000035_000040.mp4                     	no        	no        	no   
BjPzEu7Phuc_000002_000004.mp4                     	no        	no        	no   
E5MuJVnH8Hg_000023_000025.mp4                     	no        	no        	yes  
G_3kwIzNN3g_000050_000057.mp4                     	no        	no        	no   
HXldFQk7lv8_000170_000172.mp4                     	no        	no        	no   
NjytEC7-6Z0_000043_000048.mp4                     	no        	no        	no   
R1dW8M4EqYY_000156_000162.mp4                     	no        	no        	no   
TTtswoWkGQU_000149_000153.mp4                     	no        	no        	no   
WQ8E-AVgcUw_000020_000030.mp4                     	no        	no        	no   
XmoOJuF2kZ8_000314_000318.mp4                     	no        	no        	no   
d0PB6JKaBro_000022_000030.mp4                     	no        	no        	no   
ixBkTYPG82g_000015_000022.mp4                     	no        	no        	no   
j8lFuauKYlg_000020_000025.mp4                     	no        	no        	yes  
jJPCbVsrQbw_000000_000002.mp4                     	no        	no        	no   
kFdtIX78qn8_000065_000068.mp4                     	no        	no        	no   
v3K8cu6dT9s_000020_000030.mp4                     	no        	no        	no   
yh1JjC75YIc_000009_000011.mp4                     	no        	no        	no   
