label,youtube_id,time_start,time_end,split,is_cc
cleaning windows,VNX0UCoor6M,87,97,test,0
cleaning windows,XvKLqW2XTSA,44,48,test,0
cleaning windows,XvKLqW2XTSA,66,72,test,0
cleaning windows,cPZl3pipfEw,20,25,test,0
cleaning windows,cPZl3pipfEw,63,73,test,0
cleaning windows,fhIOg7xMQlA,68,73,test,0
cleaning windows,lpQQWMFWNAM,0,1,test,0
cleaning windows,tJVNul1R24o,73,81,test,0
cleaning windows,twz6DMLXS4U,21,31,test,0
cleaning windows,xGs73XJkM24,0,2,test,0
cleaning windows,zNI3Cw58xH8,0,10,test,0
climbing a rope,29CXH6FI8W4,18,23,test,0
climbing a rope,3EeU-kSO0bY,64,68,test,0
climbing a rope,79KsitsRxK4,88,96,test,0
climbing a rope,F9H7ERFv0n0,0,10,test,0
climbing a rope,Rxm1Bd10hhw,15,22,test,0
climbing a rope,TTXE56hW3jw,8,18,test,0
climbing a rope,UbdK6pKQnSQ,14,16,test,0
climbing a rope,bz0COpP1iV0,92,96,test,0
climbing a rope,eDDxKQ9KqFk,12,17,test,0
climbing a rope,jEPBGRHgTwg,177,180,test,0
climbing a rope,qe5KLw8qee0,181,184,test,0
climbing a rope,uP9mY0A_0Ts,21,25,test,0
climbing a rope,vf-e-dWOxgE,39,49,test,0
climbing a rope,x8vuJPisFOg,8,15,test,0
climbing ladder,7u3k9tzCHDw,100,110,test,0
climbing ladder,CRSVqiLk8OQ,36,46,test,0
climbing ladder,ETxZ7HjUrhE,4,11,test,0
climbing ladder,Fii2Pf_UBGA,0,3,test,0
climbing ladder,Hmo6-E7DYO4,2,8,test,0
climbing ladder,SdY0GFiME2c,457,461,test,0
climbing ladder,T3InRU7tizs,6,12,test,0
climbing ladder,UbdK6pKQnSQ,19,23,test,0
climbing ladder,bXnIBugOVLs,56,66,test,0
climbing ladder,g5NWNG4XyS8,76,85,test,0
climbing ladder,hBEUQlh6PNs,284,286,test,0
climbing ladder,j1JtNwBg8Fs,5,10,test,0
climbing ladder,nG7nXhS_Iq8,185,195,test,0
deadlifting,7xUGM3fJIks,4,6,test,0
deadlifting,9_UCzNl796M,141,145,test,0
deadlifting,Mdz5lsRh7pI,144,146,test,0
deadlifting,Yxzp8o1DdDU,116,120,test,0
deadlifting,hJn2UPaicZc,8,10,test,0
deadlifting,ipB9C6YuxUI,0,3,test,0
deadlifting,ipB9C6YuxUI,7,12,test,0
deadlifting,jvzsEAhGMAE,325,326,test,0
deadlifting,o7Aj7Bq8Kos,90,91,test,0
deadlifting,pjZJCBOGwRU,5,10,test,0
deadlifting,pn1dt2YD46s,33,35,test,0
dribbling basketball,3cFRbGaV5-k,4,8,test,0
dribbling basketball,BT0Q_P1fBlY,380,386,test,0
dribbling basketball,BdEDEi_LFOA,21,23,test,0
dribbling basketball,EDLkX44ocqw,5,9,test,0
dribbling basketball,EYDCiKGpSFs,10,12,test,0
dribbling basketball,JSIMsw3NrGM,58,63,test,0
dribbling basketball,L4lqtPwU5vY,87,93,test,0
dribbling basketball,Mio4-VYusug,6,8,test,0
dribbling basketball,VcWQTlNOzoU,39,40,test,0
dribbling basketball,VcWQTlNOzoU,131,133,test,0
dribbling basketball,ZsMqq2ByFgM,7,13,test,0
dribbling basketball,cIJd33dNr-4,6,12,test,0
dribbling basketball,lSxv5M4-8tE,31,39,test,0
dribbling basketball,o1q2BURthvU,63,73,test,0
dribbling basketball,pWJ3n5NTgDQ,7,10,test,0
dribbling basketball,sByIMfW6aI0,20,21,test,0
dribbling basketball,wILLcjlT58U,1,4,test,0
dribbling basketball,xv60PJOPVgg,57,58,test,0
drinking,1LBm1M3DBNY,89,92,test,0
drinking,5oCZjxPE2dg,60,66,test,0
drinking,5r3Z45QAmxI,271,276,test,0
drinking,7by8NBSszwk,19,26,test,0
drinking,C_zr0Kq_qfg,69,71,test,0
drinking,EkxyU6gC0zQ,100,104,test,0
drinking,F_vRbO50J20,190,194,test,0
drinking,ISAMIkCV5Is,367,370,test,0
drinking,JV3qQldC1eg,390,391,test,0
drinking,JV3qQldC1eg,399,402,test,0
drinking,KgfRK_3hGiY,326,330,test,0
drinking,LkMG3Ntn-g8,56,60,test,0
drinking,Oa3GfbRU67E,165,167,test,0
drinking,PZxs-3Mfnr8,120,122,test,0
drinking,Q6g6dU0IgBU,5,10,test,0
drinking,TFSIm3Zeecg,53,55,test,0
drinking,TGhDWDW7WhY,562,567,test,0
drinking,UinTEeZHWas,28,33,test,0
drinking,bM3Dqa0WX_g,15,16,test,0
drinking,cRsvdcmXk8M,5,9,test,0
drinking,ftRFY6vUIEw,235,240,test,0
drinking,gFhirwb2vtk,71,74,test,0
drinking,gYZbufD61Og,85,92,test,0
drinking,i1x9qnLy3Ng,27,29,test,0
drinking,n7ew4qIamfA,53,55,test,0
drinking,svY2E5YUUxc,49,59,test,0
drinking,xQs2G_09NxU,65,67,test,0
driving car,0eVaGBh2aYg,50,60,test,0
driving car,0uLKTeX6HjA,1,4,test,0
driving car,FPMBV3rd_hI,77,87,test,0
driving car,GHahcY5ew3o,1,5,test,0
driving car,MFWgsGsKGMQ,182,188,test,0
driving car,Ous_8Cm7G1s,213,223,test,0
driving car,QRiAY_889YM,128,138,test,0
driving car,SrS39FDK3HY,28,35,test,0
driving car,aGZL2rw-qtk,30,40,test,0
driving car,aJd5kfrA0Vs,341,351,test,0
driving car,bkzsoJf-UsA,59,61,test,0
driving car,cOZSG3wYTLo,64,72,test,0
driving car,gYZbufD61Og,130,132,test,0
driving car,lIrkASGtoz8,38,46,test,0
driving car,m-H7X-deSTk,216,219,test,0
driving car,mm1HgQbXFEE,100,106,test,0
dunking basketball,ElJQ_h3Y-0U,34,37,test,0
dunking basketball,VcWQTlNOzoU,134,137,test,0
dunking basketball,_sKrWYJPc2g,28,33,test,0
dunking basketball,duC8ZXFfo9k,71,73,test,0
dunking basketball,duC8ZXFfo9k,120,124,test,0
dunking basketball,eMXo3QIsFQo,178,180,test,0
dunking basketball,ucaR1j6Ajs8,9,11,test,0
dunking basketball,v0fHvZxWUqk,0,2,test,0
dunking basketball,v0fHvZxWUqk,4,6,test,0
dunking basketball,v0fHvZxWUqk,8,10,test,0
eating cake,1LBm1M3DBNY,76,86,test,0
eating cake,89vQjjd5M70,129,138,test,0
eating cake,COppfZLpk-8,65,75,test,0
eating cake,CmwzhtJ98tk,69,71,test,0
eating cake,FPMBV3rd_hI,3,10,test,0
eating cake,LlXKCeXsdNg,177,183,test,0
eating cake,M5-HKclj15U,42,52,test,0
eating cake,N4WKMa_KKYc,1,3,test,0
eating cake,PZxs-3Mfnr8,210,213,test,0
eating cake,PjUiNabLd04,623,625,test,0
eating cake,RWLqaD9v6N8,140,146,test,0
eating cake,TdGVBQbBTbo,11,18,test,0
eating cake,c-DsvJAjK0w,50,57,test,0
eating cake,cLqHYQY3Sjo,52,56,test,0
eating cake,ftRFY6vUIEw,140,150,test,0
eating cake,kGpDLyc59ik,190,200,test,0
eating cake,kGpDLyc59ik,320,330,test,0
eating cake,uPCzjHPS--U,70,72,test,0
eating cake,zvPgORDt900,36,46,test,0
eating ice cream,37R1c2TOoCY,146,151,test,0
eating ice cream,53SXVzTpCjg,37,45,test,0
eating ice cream,5bAFqsG37C0,0,8,test,0
eating ice cream,EUHjIrtQvms,2,8,test,0
eating ice cream,EjVnQyhz8uo,202,210,test,0
eating ice cream,LAwv-gU3lqE,55,57,test,0
eating ice cream,N3coivBwaqc,50,52,test,0
eating ice cream,QDs8zNsJVUI,0,6,test,0
eating ice cream,T2gTIworsLk,49,50,test,0
eating ice cream,X2pmhFCUDJw,95,100,test,0
eating ice cream,yVMqtk4MDj8,9,12,test,0
flying kite,-fiZ0aXnDX8,156,166,test,0
flying kite,Kc7a47NaUrU,1,9,test,0
flying kite,MbmFcjcGf8w,196,203,test,0
flying kite,NjaSSRcBgus,85,95,test,0
flying kite,OXg_ybIJYuE,48,57,test,0
flying kite,VwDR7DvX4PE,10,20,test,0
flying kite,_JYwMtF5UzA,0,10,test,0
flying kite,eF5Yv3U1UaY,150,153,test,0
flying kite,sLXBT10xg8w,28,38,test,0
flying kite,xwOp2GJ3kDI,234,239,test,0
golf driving,-vEG9b1osjk,0,2,test,0
golf driving,B281ZM_guy4,441,446,test,0
golf driving,B2HcgdVgAYE,17,22,test,0
golf driving,CjXn0c_XvDE,44,51,test,0
golf driving,D4p5RrIMcBo,48,53,test,0
golf driving,JiH47aX9sqU,17,23,test,0
golf driving,LZKWWQHg6tI,608,612,test,0
golf driving,SLQOMHEeURM,180,184,test,0
golf driving,TRcCyetKj0o,228,236,test,0
golf driving,eMXo3QIsFQo,100,104,test,0
golf driving,enqzVO7JoK4,35,36,test,0
golf driving,htZoKnl5OE4,13,18,test,0
golf driving,mW2ZS9Y2m8E,8,10,test,0
golf driving,nEkB5deP0T8,117,122,test,0
golf driving,vA0v6Xp7CIU,105,112,test,0
golf driving,zLr8OGVDTFA,5,8,test,0
hitting baseball,-CM9SDKQRQc,150,152,test,0
hitting baseball,0xA0SB7uFcc,19,20,test,0
hitting baseball,IL_G87_XyxU,81,83,test,0
hitting baseball,NAkrjA7GR84,112,115,test,0
hitting baseball,OG4GyiHdRAI,75,76,test,0
hitting baseball,S64EAB8haMw,15,19,test,0
hitting baseball,TRcCyetKj0o,115,116,test,0
hitting baseball,YvKce9m1z7g,4,6,test,0
hitting baseball,ZMJixoSYf8Q,45,47,test,0
hitting baseball,bodvGG0lOFY,78,81,test,0
hitting baseball,eMXo3QIsFQo,114,116,test,0
hitting baseball,hvD1Jypn7cg,108,110,test,0
hitting baseball,lpZs8sx51tk,15,17,test,0
hitting baseball,n98HEowTnkQ,11,12,test,0
hitting baseball,x3QNv54PtlE,17,20,test,0
hurdling,3hxZTxU0Svw,0,2,test,0
hurdling,HHvryR3MtRg,0,5,test,0
hurdling,QK87X-9J-ps,0,4,test,0
hurdling,Wy7qUxpzmzM,4,10,test,0
hurdling,bawjQioW0cM,122,129,test,0
hurdling,lhA3Mxwy8xg,54,55,test,0
hurdling,ov38wjek-ok,0,10,test,0
hurdling,svnmmn-sYTs,0,3,test,0
hurdling,wZXgTlk-rak,0,10,test,0
hurdling,xtIw4-LOSKw,0,8,test,0
juggling balls,BRtsvUVpHf4,164,169,test,0
juggling balls,CytOsGVQyKg,26,27,test,0
juggling balls,E-Bnewo247E,4,5,test,0
juggling balls,EJqkPjB6EpQ,74,76,test,0
juggling balls,WzgnBOXs9Wo,0,2,test,0
juggling balls,XrTg8mq_geo,4,5,test,0
juggling balls,aoNi9Im_Iio,134,136,test,0
juggling balls,dS3Hc-5o9Z8,26,31,test,0
juggling balls,dbPOVCeb8dU,351,353,test,0
juggling balls,j5tSDS91AcM,104,108,test,0
juggling balls,kr8KU7N93dw,3,6,test,0
juggling balls,u2rLpICCatI,57,62,test,0
juggling soccer ball,228yqOPCJaY,14,16,test,0
juggling soccer ball,3YUTULgA-Hc,36,37,test,0
juggling soccer ball,58RrWSDBsNc,281,283,test,0
juggling soccer ball,80C5dnlGtiY,4,9,test,0
juggling soccer ball,80C5dnlGtiY,21,25,test,0
juggling soccer ball,9AbZIwq7qJU,0,3,test,0
juggling soccer ball,ArGXhyriIzs,6,12,test,0
juggling soccer ball,JuGpEUvXEW0,11,15,test,0
juggling soccer ball,M9rgnIoZQTo,12,15,test,0
juggling soccer ball,M9rgnIoZQTo,15,17,test,0
juggling soccer ball,MuHA3dDr5JI,8,10,test,0
juggling soccer ball,MuHA3dDr5JI,13,14,test,0
juggling soccer ball,OLTMQBerToU,64,68,test,0
juggling soccer ball,ZxyVh5NlOF8,26,28,test,0
juggling soccer ball,eMXo3QIsFQo,138,139,test,0
juggling soccer ball,j11ARKpK-8Q,20,22,test,0
juggling soccer ball,pOHZlLytOQw,70,73,test,0
juggling soccer ball,pOHZlLytOQw,170,180,test,0
opening bottle,1LBm1M3DBNY,87,89,test,0
opening bottle,1lukUCL5pS4,146,151,test,0
opening bottle,7by8NBSszwk,4,5,test,0
opening bottle,C_zr0Kq_qfg,65,67,test,0
opening bottle,JV3qQldC1eg,375,379,test,0
opening bottle,LkMG3Ntn-g8,54,56,test,0
opening bottle,gFhirwb2vtk,58,68,test,0
opening bottle,s6psOZC5UE8,90,100,test,0
opening bottle,xQs2G_09NxU,64,65,test,0
playing accordion,8_Ex8pZgeAY,50,60,test,0
playing accordion,9CtKGiqhCoA,23,27,test,0
playing accordion,HNNBPNQwh8E,8,10,test,0
playing accordion,HrF_3NMGU2c,2,4,test,0
playing accordion,J72oxMhjf1Y,37,41,test,0
playing accordion,LfceW5releU,2,4,test,0
playing accordion,USAL4OpwJ-w,20,30,test,0
playing accordion,eeC8u7osjsU,0,8,test,0
playing accordion,hFsTEHai5Zg,0,10,test,0
playing accordion,s--xTEYCHUo,90,100,test,0
playing accordion,vDonJJgnI0w,10,20,test,0
playing basketball,7zzLN3ZNQEI,0,10,test,0
playing basketball,JwkAbfty5p8,19,25,test,0
playing basketball,L4lqtPwU5vY,81,86,test,0
playing basketball,L4lqtPwU5vY,95,96,test,0
playing basketball,RVlKVMy-oxI,178,181,test,0
playing basketball,YfTcVAUWc74,1,3,test,0
playing basketball,eMXo3QIsFQo,84,89,test,0
playing basketball,g7qQK6Qxi3U,12,17,test,0
playing basketball,gW2qYxCB-0g,4,6,test,0
playing basketball,lhuGcGu3-7E,3,13,test,0
playing basketball,nrlWz4aIkRI,0,3,test,0
playing basketball,vNUcBRjaboo,22,27,test,0
playing basketball,xNeghXu6ZS4,2,7,test,0
playing basketball,xv60PJOPVgg,3,9,test,0
playing bass guitar,-0dNIgdbSX8,0,7,test,0
playing bass guitar,A4nytLns0_M,72,76,test,0
playing bass guitar,D0ntNYx8Zis,28,38,test,0
playing bass guitar,Fhd0n8xXTSA,0,10,test,0
playing bass guitar,GkrtgWwIKU0,1,11,test,0
playing bass guitar,dThVRcijxZQ,10,20,test,0
playing bass guitar,hK-F1ILPaAk,1,10,test,0
playing bass guitar,kR8zkH-35kk,173,175,test,0
playing bass guitar,mGlm3QKBvD8,85,86,test,0
playing bass guitar,oAU0Pb-74RU,41,51,test,0
playing bass guitar,pbCEaGyf-Rs,12,22,test,0
playing bass guitar,wROQoqSDHV0,11,13,test,0
playing bass guitar,yx_zMTYkoes,34,37,test,0
playing guitar,8ayeoP9Q-eY,35,40,test,0
playing guitar,BjPzEu7Phuc,2,4,test,0
playing guitar,E5MuJVnH8Hg,23,25,test,0
playing guitar,G_3kwIzNN3g,50,57,test,0
playing guitar,HXldFQk7lv8,170,172,test,0
playing guitar,NjytEC7-6Z0,43,48,test,0
playing guitar,R1dW8M4EqYY,156,162,test,0
playing guitar,TTtswoWkGQU,149,153,test,0
playing guitar,WQ8E-AVgcUw,20,30,test,0
playing guitar,XmoOJuF2kZ8,314,318,test,0
playing guitar,d0PB6JKaBro,22,30,test,0
playing guitar,ixBkTYPG82g,15,22,test,0
playing guitar,j8lFuauKYlg,20,25,test,0
playing guitar,jJPCbVsrQbw,0,2,test,0
playing guitar,kFdtIX78qn8,65,68,test,0
playing guitar,v3K8cu6dT9s,20,30,test,0
playing guitar,yh1JjC75YIc,9,11,test,0
playing guitar,zbx22vdGsiI,168,170,test,0
playing piano,2je914Qrjzw,20,30,test,0
playing piano,4K7T7XNwkOs,10,20,test,0
playing piano,5scu_DSFGcs,15,17,test,0
playing piano,7ulJtKGSNvg,25,35,test,0
playing piano,I79RUT2mWFc,20,24,test,0
playing piano,L2-iSLXXUjc,52,58,test,0
playing piano,SoVAjHzeduo,5,15,test,0
playing piano,TdX-4k1C0FE,25,30,test,0
playing piano,cmM4OrWuj_M,2,10,test,0
playing piano,m-H7X-deSTk,12,17,test,0
playing piano,oiGd1Q7mm-w,70,80,test,0
playing piano,soxQzU7uERg,55,60,test,0
playing piano,trFxg5SOSvI,10,20,test,0
playing piano,vg8js-NANDo,20,30,test,0
playing piano,yAX_BfEjH0c,15,25,test,0
playing piano,yTWTsSIykcg,0,10,test,0
playing piano,yZurS3ExCPk,27,37,test,0
playing saxophone,3gXpyjOawoM,25,32,test,0
playing saxophone,6gHz-cxfeQ8,1,6,test,0
playing saxophone,7LTKAifeIgQ,5,15,test,0
playing saxophone,9qVfAdeiq0A,20,27,test,0
playing saxophone,J2zoY_UfNlQ,5,15,test,0
playing saxophone,RKCpr9cZUBQ,15,20,test,0
playing saxophone,_wxtgv2k1c0,107,112,test,0
playing saxophone,ixBkTYPG82g,48,53,test,0
playing saxophone,kfRWbynDGu8,96,103,test,0
playing saxophone,oaNiS_tHfbE,35,39,test,0
playing saxophone,ouDw29KY3UM,11,15,test,0
playing saxophone,teRBvK5qvXE,10,15,test,0
playing saxophone,uJ38b0KykWI,15,20,test,0
playing tennis,1-v_nFabl1M,14,20,test,0
playing tennis,1uO6_0Ii-gw,76,78,test,0
playing tennis,Gc6t9fuZUKY,552,559,test,0
playing tennis,I0wv7LKnkSw,19,23,test,0
playing tennis,KukISaZBhcI,50,54,test,0
playing tennis,L4lqtPwU5vY,70,80,test,0
playing tennis,MykK0N1WFN0,170,176,test,0
playing tennis,RVlKVMy-oxI,143,147,test,0
playing tennis,TRcCyetKj0o,170,172,test,0
playing tennis,Tg9mJRahkBs,70,76,test,0
playing tennis,UqzbgSuea94,0,4,test,0
playing tennis,XAZML7RXsww,111,114,test,0
playing tennis,Z2_P2eLs-oY,105,114,test,0
playing tennis,af_KqWyh2fE,55,64,test,0
playing tennis,gsdJUGBoKdk,25,32,test,0
playing tennis,rUn1mjk3LhE,15,18,test,0
playing tennis,u27ZpuwQ7Qw,27,32,test,0
playing tennis,u4jWPS4uQb4,2,5,test,0
playing tennis,uGYF0cohpPo,17,20,test,0
playing trumpet,AXJjDX7f4U8,47,52,test,0
playing trumpet,Fn866-mNriY,22,32,test,0
playing trumpet,G7UveGPjZR8,0,6,test,0
playing trumpet,Of2AffIeV58,3,10,test,0
playing trumpet,VSwUuE4Mb7k,8,12,test,0
playing trumpet,XVQvmod4svI,12,15,test,0
playing trumpet,Zxp7_IMUTRQ,8,15,test,0
playing trumpet,f-A2Wa8jR7s,5,8,test,0
playing trumpet,fG8aSj5ttKg,0,9,test,0
playing trumpet,mePrNsy72Yg,0,10,test,0
playing trumpet,ow-WRihXwm0,3,13,test,0
playing trumpet,qbK-l1kJaWo,0,4,test,0
playing trumpet,yKwAi-1opzU,23,26,test,0
playing trumpet,z6woHuuwl1o,0,10,test,0
playing violin,1LBm1M3DBNY,30,40,test,0
playing violin,AM72BbbXH4w,55,60,test,0
playing violin,GgOXsW06EYE,3,10,test,0
playing violin,KM9jkQlR51E,329,334,test,0
playing violin,L71DUOPJn88,136,138,test,0
playing violin,Lci2M22ywSg,0,10,test,0
playing violin,PTCVfbDY0RM,7,10,test,0
playing violin,SM6vDMcLHiI,112,115,test,0
playing violin,TyqATpi_knw,115,119,test,0
playing violin,U4SUGeh27RA,6,8,test,0
playing violin,hQmoQOJZqok,50,56,test,0
playing violin,kfvNRCtoyZc,20,28,test,0
playing violin,natexREv6Uo,40,50,test,0
playing violin,q-rGl0v0KI8,30,35,test,0
playing violin,qNJINPPOZC0,19,29,test,0
playing violin,scZvLstzkig,0,10,test,0
playing violin,tJVNul1R24o,10,15,test,0
playing violin,vYTbXgjqWTw,2,7,test,0
playing violin,wo4t9PKxGhI,7,13,test,0
playing violin,zbx22vdGsiI,176,181,test,0
playing volleyball,4mW-7bipojM,72,79,test,0
playing volleyball,84GzqqaUiVc,0,7,test,0
playing volleyball,Fz97Mmtozcg,14,16,test,0
playing volleyball,GVhUVhlJYDM,35,44,test,0
playing volleyball,HOHxR8_CqEQ,8,15,test,0
playing volleyball,L4lqtPwU5vY,149,158,test,0
playing volleyball,Mt4P2qJzSZs,0,3,test,0
playing volleyball,P5CYaw5mEM0,105,108,test,0
playing volleyball,TRcCyetKj0o,77,79,test,0
playing volleyball,TrrI4cFOYEk,6,9,test,0
playing volleyball,eGDD8GeE0qo,34,44,test,0
playing volleyball,feX4zhOfjX4,90,100,test,0
playing volleyball,uiup9wdVzw0,20,24,test,0
punching person (boxing),9qUKSCHQ3z0,57,59,test,0
punching person (boxing),FUIqsc5hMMQ,182,184,test,0
punching person (boxing),KC7P1KVZUC0,55,62,test,0
punching person (boxing),PW5e01acttw,172,173,test,0
punching person (boxing),PuQDdeQxejw,1,5,test,0
punching person (boxing),SHVMWGGAkGQ,96,100,test,0
punching person (boxing),SdY0GFiME2c,396,399,test,0
punching person (boxing),TGhDWDW7WhY,164,166,test,0
punching person (boxing),ZQAzZN4uRM4,269,271,test,0
punching person (boxing),bOkmovhjL2M,34,37,test,0
punching person (boxing),dGFYRCvR_II,197,199,test,0
punching person (boxing),gYZbufD61Og,214,216,test,0
punching person (boxing),jz7diIi-jY8,27,29,test,0
punching person (boxing),wPwRnIwXWNA,171,175,test,0
punching person (boxing),xJUW5S38h14,54,61,test,0
punching person (boxing),zl5qNMwJ_jU,120,121,test,0
reading book,-CY1TkCMwjM,11,18,test,0
reading book,11EMLAs8D_A,410,414,test,0
